fold_id,train_start,train_end,test_start,test_end,selected_rank,asset_a,asset_b,start_date,end_date,observations,correlation,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,half_life,spread_mean,spread_std,selected
4,2024-03-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,2025-03-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,3,ETH/USDT:USDT,AVAX/USDT:USDT,2024-03-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,5000,0.9669852465093807,-3.5011600308989173,0.03229269267555764,-3.5006219791907274,0.00797113467929146,0.664461764740079,144.3193641582015,5.6877037972023174,0.048769621519416426,True
4,2024-03-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,2025-03-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,4,BNB/USDT:USDT,LINK/USDT:USDT,2024-03-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,5000,0.8909916981934345,-4.1211653634706815,0.004787683607351896,-4.120745018590572,0.0008948167290596737,0.2756258095289603,111.27276143093472,5.670109676060304,0.044693027247437116,True
5,2024-06-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,2025-06-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,1,NEAR/USDT:USDT,ARB/USDT:USDT,2024-06-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,5000,0.994404546745154,-3.9379247746764374,0.008786699175577227,-3.937840657512534,0.0017733531784315945,0.9339808068560485,63.99269613330697,1.9156333218847765,0.04091294572123525,True
5,2024-06-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,2025-06-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,2,DOT/USDT:USDT,NEAR/USDT:USDT,2024-06-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,5000,0.9903308801920606,-4.68021202628626,0.0006098614771974557,-4.679728124364197,9.184970568796966e-05,0.7475132485171687,74.87763980162948,0.7212266517284368,0.040553764072800105,True
5,2024-06-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,2025-06-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,3,AVAX/USDT:USDT,ARB/USDT:USDT,2024-06-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,5000,0.9854705059454789,-3.4500872045531015,0.037084042760135785,-3.4497415362779256,0.009375641051163211,0.7938347704588776,136.06598986628063,3.853021215087316,0.05641636338711497,True
5,2024-06-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,2025-06-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,4,DOT/USDT:USDT,APT/USDT:USDT,2024-06-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,5000,0.9833272834700694,-3.773898362718414,0.014681095920669221,-3.7736131909120303,0.0031891228791421635,0.8472791147809807,95.44743875565001,0.04234238883868909,0.05315883262595682,True
5,2024-06-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,2025-06-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,5,ATOM/USDT:USDT,APT/USDT:USDT,2024-06-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,5000,0.9705843115156707,-3.594613274045002,0.02488010134720775,-3.594242148369603,0.00587206442530135,0.7188704685355546,132.76431617139977,0.30100542219285037,0.06049939644885201,True
6,2024-09-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,2025-09-23T15:00:00+00:00,2025-12-23T14:00:00+00:00,1,LINK/USDT:USDT,ARB/USDT:USDT,2024-09-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,5000,0.944651225707392,-3.4860428740582186,0.03365287612893448,-3.485733798715801,0.008361129085756753,1.1201471108829133,156.2653243523614,3.850606890649433,0.07412228083207523,True
6,2024-09-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,2025-09-23T15:00:00+00:00,2025-12-23T14:00:00+00:00,2,LTC/USDT:USDT,ARB/USDT:USDT,2024-09-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,5000,0.907091123237467,-4.181337255175702,0.00389259246505252,-4.181236382274976,0.0007087813104355767,0.7017303025408281,128.778066235426,5.241422426892655,0.06204459875435299,True
6,2024-09-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,2025-09-23T15:00:00+00:00,2025-12-23T14:00:00+00:00,3,ADA/USDT:USDT,ARB/USDT:USDT,2024-09-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,5000,0.8891468781199995,-4.301328152979168,0.0025482431212668633,-4.305767814639914,0.00043410638315572033,0.6731594410475085,94.66582680214859,0.32596000533265423,0.06601180362325604,True
6,2024-09-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,2025-09-23T15:00:00+00:00,2025-12-23T14:00:00+00:00,4,XRP/USDT:USDT,LTC/USDT:USDT,2024-09-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,5000,0.8667983218022743,-5.218277480685748,6.406736857866106e-05,-5.253369571636941,6.834478991969681e-06,0.9466997431579903,132.306691931814,-3.417761925928789,0.08027630970111813,True
6,2024-09-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,2025-09-23T15:00:00+00:00,2025-12-23T14:00:00+00:00,5,XRP/USDT:USDT,ARB/USDT:USDT,2024-09-23T15:00:00+00:00,2025-09-23T14:00:00+00:00,5000,0.8619660567598124,-3.4703516665497727,0.03511571692468452,-3.4704768325271296,0.008778484797157428,0.7282888743571605,183.35965490747324,1.605088313246599,0.08161362680897756,True
