trade_id,entry_time,exit_time,direction,entry_price_a,entry_price_b,exit_price_a,exit_price_b,qty_a,qty_b,gross_pnl,fees,slippage_cost,net_pnl,return_pct,duration_bars,exit_reason
156,2024-12-09 09:00:00+00:00,2024-12-09 21:00:00+00:00,SHORT_SPREAD,2.3914,123.99,2.2337,109.14,-1045.4127289453877,53.085659415015115,-623.4604549582864,6.884399276827116,3.4421996384135576,-633.787053873527,-0.06978426665110023,12,stop_z_exit
157,2024-12-17 07:00:00+00:00,2024-12-17 17:00:00+00:00,SHORT_SPREAD,2.5348,117.06,2.6335,129.31,-986.2711062016726,56.22835221995322,591.4523565123218,7.580129637844793,3.790064818922396,580.0821620555546,0.06387099267652367,10,no_flip_exit
158,2024-12-18 21:00:00+00:00,2024-12-21 05:00:00+00:00,SHORT_SPREAD,2.3486,110.76,2.3504,105.87,-1064.4639359618498,59.4266062736342,-292.51213976280286,7.1502007008568444,3.575100350428422,-303.23744081408813,-0.03338850533319712,56,mean_reversion_exit
159,2024-12-23 22:00:00+00:00,2024-12-26 07:00:00+00:00,LONG_SPREAD,2.2573,107.32,2.2407,106.43,1107.5178310370798,-61.33144717543537,36.20019199092123,7.2364848151016385,3.618242407550819,25.345464768268776,0.0027907081108316297,57,mean_reversion_exit
160,2024-12-27 23:00:00+00:00,2024-12-30 01:00:00+00:00,SHORT_SPREAD,2.1454,100.52,2.1248,100.64,-1165.283863149063,65.48041097162479,31.86249689746589,7.25921384938847,3.629606924694235,20.973676123383186,0.002309344437224898,50,mean_reversion_exit
161,2024-12-31 14:00:00+00:00,2025-01-01 17:00:00+00:00,LONG_SPREAD,2.1305,104.1,2.2585,104.82,1173.4334663224595,-63.22853900929611,104.6749356025818,7.343962341404568,3.6719811707022836,93.65899209047495,0.010312492245414724,27,mean_reversion_exit
162,2025-01-03 20:00:00+00:00,2025-01-07 04:00:00+00:00,LONG_SPREAD,2.4485,114.08,2.4059,112.53,1021.0332856851132,-57.69715034070586,45.934565057907804,7.212502088294868,3.6062510441474336,35.1158119254655,0.0038664898061574735,80,mean_reversion_exit
163,2025-01-07 16:00:00+00:00,2025-01-07 21:00:00+00:00,SHORT_SPREAD,2.3107,105.9,2.2684,102.17,-1081.9232267278312,62.153832963812306,-186.0684444644329,7.1546330689159365,3.577316534457968,-196.8003940678068,-0.021669062333687216,5,stop_z_exit
164,2025-01-11 19:00:00+00:00,2025-01-14 22:00:00+00:00,SHORT_SPREAD,2.5292,102.58,2.6672,102.4,-988.4548473825716,64.16544073764598,-147.9565482715706,7.315615524536588,3.6578077622682934,-158.92997155837548,-0.01749927116102727,75,mean_reversion_exit
165,2025-01-15 23:00:00+00:00,2025-01-18 16:00:00+00:00,LONG_SPREAD,3.1411,116.94,3.1419,123.81,795.8995256438827,-56.28605191438108,-386.048457031283,7.420601487203106,3.7103007436015525,-397.1793592620877,-0.04373214969548685,65,mean_reversion_exit
