asset_a,asset_b,start_date,end_date,observations,correlation,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,half_life,spread_mean,spread_std,selected
ETH/USDT:USDT,APT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.3215131096729193,-1.9604749231819494,0.5490525145788516,-1.9640666646672125,0.30254736668737614,0.17759311136477474,839.3583970563897,7.9278219368096545,0.19612082510708478,False
ETH/USDT:USDT,ARB/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.6571956530597607,-2.0433888191883356,0.5059630249635921,-2.046891228712395,0.26639865843442595,0.40929962191936325,819.7502377421898,8.596545352486746,0.15610876802843557,False
ETH/USDT:USDT,OP/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.5112923364337505,-2.103399476122439,0.47459025746455313,-2.106567822554639,0.24188186159632769,0.2976923603242614,832.0381826160966,8.345657083773206,0.17799838348712296,False
BNB/USDT:USDT,SOL/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.46760264341868174,-1.33330850948447,0.8194585045202265,-1.337965923325297,0.6116289154921443,0.4333425888155305,1391.8895231752085,4.534333526219364,0.1581433682529502,False
BNB/USDT:USDT,XRP/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.1623068430967311,-1.525523036797046,0.7512755074647959,-1.5294193048191,0.5189111005095536,0.16454820959502053,1084.6224237376591,6.606274456224794,0.17653534790898293,False
BNB/USDT:USDT,ADA/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.10220898329146179,-1.6933521776248015,0.6799344416226266,-1.694597936018653,0.4338979100987263,0.0632101250643263,940.1613883884079,6.786855929170174,0.17797065446362895,False
BNB/USDT:USDT,DOGE/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.24457898468960138,-1.5492310863162408,0.7418342749187814,-1.550820491847522,0.5082383240108567,0.19902343811443035,1168.0572154749314,7.089334128976057,0.17347406665109752,False
BNB/USDT:USDT,AVAX/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.21572527973489372,-1.6522870695188034,0.6983244786803241,-1.653731493776865,0.45509507383200387,0.13842862710219825,1021.1367531767321,6.343635229171977,0.17469506174194968,False
BNB/USDT:USDT,LINK/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.4334514071078678,-1.3246416762494622,0.8221762471690215,-1.3281477943791993,0.6161983216418359,0.32359697866314263,1389.6535313281756,5.84318773980868,0.16122740607426758,False
BNB/USDT:USDT,DOT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,-0.10154131491616573,-1.7315662828440854,0.6623282779054045,-1.7322383480934245,0.41458349981358433,-0.06741234609026561,794.0695736070708,6.837806606995808,0.1779828871920411,False
