trade_id,entry_time,exit_time,direction,entry_price_a,entry_price_b,exit_price_a,exit_price_b,qty_a,qty_b,gross_pnl,fees,slippage_cost,net_pnl,return_pct,duration_bars,exit_reason
116,2024-06-18 00:00:00+00:00,2024-06-18 01:00:00+00:00,LONG_SPREAD,0.12675,28.186,0.11864,26.022,19723.865877712033,-60.25004062706209,-29.57946435128224,3.2424294600174153,1.6212147300087074,-34.44310854130836,-0.008204241298400576,1,stop_z_exit
117,2024-06-22 04:00:00+00:00,2024-06-22 05:00:00+00:00,SHORT_SPREAD,0.12443,26.207,0.12435,24.982,-20091.61777706341,64.79977277499798,-77.7723922272076,3.3261712956628826,1.663085647831441,-82.76164917070193,-0.019713567352252118,1,stop_z_exit
118,2024-06-23 14:00:00+00:00,2024-06-24 05:00:00+00:00,SHORT_SPREAD,0.12335,24.387,0.11828,24.177,-20267.531414673693,69.63577500776529,88.13287152076494,3.3116141572818876,1.6558070786409438,83.16545028484211,0.019809751521372505,15,mean_reversion_exit
119,2024-06-27 14:00:00+00:00,2024-07-02 03:00:00+00:00,LONG_SPREAD,0.12366,27.559,0.12385,28.61,20216.723273491833,-61.62080065003708,-60.922284061225525,3.3860079716535587,1.6930039858267794,-66.00129601870586,-0.015721303374670925,109,mean_reversion_exit
120,2024-07-04 08:00:00+00:00,2024-07-04 11:00:00+00:00,LONG_SPREAD,0.11172,25.921,0.11075,25.867,22377.37200143215,-65.51474268409291,-18.16825473644824,3.3484685773129668,1.6742342886564832,-23.19095760241769,-0.005524013951383745,3,stop_z_exit
121,2024-07-05 12:00:00+00:00,2024-07-06 08:00:00+00:00,LONG_SPREAD,0.0989,24.178,0.10834,25.418,25278.058645096055,-70.23772210746844,151.53009819644615,3.4888539757006853,1.7444269878503427,146.2968172328951,0.03484744672006559,20,mean_reversion_exit
122,2024-07-13 18:00:00+00:00,2024-07-17 15:00:00+00:00,SHORT_SPREAD,0.11122,25.816,0.12284,28.006,-22477.971587843913,65.78120720151736,-117.13318607942324,3.5206680655403266,1.760334032770163,-122.41418817773373,-0.029158678780501053,93,mean_reversion_exit
123,2024-07-20 07:00:00+00:00,2024-07-20 15:00:00+00:00,SHORT_SPREAD,0.12741,28.153,0.13477,28.386,-19621.693744604036,60.32066369887303,-130.36095131844837,3.4219542683323474,1.7109771341661735,-135.49388272094689,-0.03227422132838682,8,stop_z_exit
124,2024-07-26 02:00:00+00:00,2024-07-29 11:00:00+00:00,SHORT_SPREAD,0.12892,27.688,0.13328,28.544,-19391.870927707103,61.333705761137395,-32.04690511326932,3.4133861998420327,1.7066930999210161,-37.16698441303237,-0.008853060056780451,81,mean_reversion_exit
125,2024-07-31 20:00:00+00:00,2024-08-01 14:00:00+00:00,LONG_SPREAD,0.12178,25.59,0.11665,24.923,20528.822466743306,-66.36215885558312,-61.04929929771903,3.298735548407071,1.6493677742035353,-65.99740262032964,-0.015720375979290484,18,stop_z_exit
